crsCode583527 deptId434339 crsName389811 descr103403
crsCode251869 deptId820617 crsName46873 descr889136
crsCode120215 deptId475647 crsName220569 descr297539
crsCode625143 deptId864528 crsName437707 descr171971
crsCode107621 deptId551681 crsName731165 descr593908
crsCode70383 deptId940415 crsName274505 descr333122
crsCode109854 deptId815050 crsName786810 descr618875
crsCode643877 deptId959425 crsName82313 descr476718
crsCode710643 deptId17734 crsName997280 descr910493
crsCode247976 deptId539469 crsName912255 descr699297
crsCode23139 deptId757062 crsName638941 descr819547
crsCode901754 deptId206437 crsName345190 descr531922
crsCode665923 deptId451658 crsName979683 descr893806
crsCode339919 deptId378386 crsName296824 descr733712
crsCode447159 deptId794042 crsName407430 descr26316
crsCode958286 deptId899883 crsName649009 descr398468
crsCode339637 deptId645350 crsName587579 descr836642
crsCode31886 deptId753740 crsName833807 descr780593
crsCode700361 deptId465611 crsName362330 descr98137
crsCode58842 deptId666913 crsName895252 descr307701
crsCode252427 deptId804302 crsName782301 descr666515
crsCode809261 deptId606490 crsName720194 descr231431
crsCode975274 deptId719936 crsName617438 descr314156
crsCode718902 deptId747766 crsName356701 descr615928
crsCode955044 deptId717018 crsName789084 descr441915
crsCode655253 deptId96570 crsName908524 descr17972
crsCode962059 deptId87104 crsName917686 descr808784
crsCode878235 deptId44408 crsName80120 descr189568
crsCode70977 deptId352384 crsName587885 descr141173
crsCode466765 deptId9675 crsName256843 descr916603
crsCode859580 deptId861073 crsName102758 descr995503
crsCode684002 deptId866391 crsName73714 descr682079
crsCode873986 deptId618518 crsName728038 descr483004
crsCode453568 deptId527499 crsName770683 descr73598
crsCode518893 deptId357595 crsName792595 descr59285
crsCode283650 deptId468000 crsName307831 descr289415
crsCode809832 deptId815188 crsName545977 descr264811
crsCode467892 deptId174936 crsName8568 descr97024
crsCode458864 deptId898978 crsName907586 descr50154
crsCode781268 deptId596418 crsName832724 descr23435
crsCode686420 deptId287823 crsName703484 descr150586
crsCode755475 deptId250034 crsName44384 descr611875
crsCode953205 deptId687758 crsName82007 descr366907
crsCode578194 deptId723275 crsName528949 descr707933
crsCode487238 deptId877182 crsName154916 descr619974
crsCode398757 deptId939190 crsName989229 descr817002
crsCode703180 deptId445606 crsName325334 descr323569
crsCode346195 deptId313578 crsName372518 descr537041
crsCode339550 deptId159800 crsName202692 descr366600
crsCode652371 deptId1700 crsName920510 descr518711
crsCode873573 deptId917583 crsName960741 descr591062
crsCode857487 deptId219181 crsName374100 descr469528
crsCode948509 deptId167922 crsName785682 descr148124
crsCode85348 deptId98777 crsName28109 descr84940
crsCode460562 deptId180049 crsName257351 descr686870
crsCode563616 deptId808964 crsName143245 descr975173
crsCode835876 deptId907652 crsName172641 descr921723
crsCode733634 deptId811220 crsName338297 descr536717
crsCode929155 deptId659537 crsName43744 descr79675
crsCode725758 deptId409980 crsName782523 descr468682
crsCode109298 deptId589477 crsName430822 descr74688
crsCode173878 deptId809844 crsName279613 descr511676
crsCode732551 deptId91799 crsName42871 descr183343
crsCode959233 deptId668292 crsName771692 descr114299
crsCode587945 deptId984553 crsName296311 descr554598
crsCode562022 deptId866552 crsName676854 descr894651
crsCode72784 deptId972040 crsName441326 descr91197
crsCode187553 deptId890858 crsName804940 descr620553
crsCode883081 deptId536969 crsName747334 descr672583
crsCode387613 deptId297532 crsName48416 descr690060
crsCode773167 deptId212652 crsName174987 descr197584
crsCode126969 deptId973725 crsName310184 descr195399
crsCode804978 deptId831195 crsName590442 descr838558
crsCode532931 deptId78977 crsName731160 descr869139
crsCode134803 deptId6953 crsName218482 descr110193
crsCode907838 deptId334187 crsName832043 descr604775
crsCode403877 deptId15700 crsName259221 descr63876
crsCode940383 deptId256037 crsName319067 descr632466
crsCode618446 deptId487876 crsName520551 descr382220
crsCode924556 deptId455620 crsName658084 descr566780
crsCode954435 deptId850828 crsName393629 descr428341
crsCode892060 deptId143590 crsName165316 descr889706
crsCode547535 deptId601830 crsName712719 descr405866
crsCode98649 deptId164853 crsName931901 descr329849
crsCode867788 deptId618681 crsName952119 descr539788
crsCode142912 deptId844898 crsName986577 descr138848
crsCode55783 deptId717780 crsName7855 descr639991
crsCode3070 deptId548588 crsName570693 descr212720
crsCode484384 deptId762801 crsName806710 descr761474
crsCode751413 deptId648665 crsName86750 descr445269
crsCode609415 deptId362549 crsName125163 descr869693
crsCode225077 deptId559866 crsName711078 descr990739
crsCode153408 deptId302636 crsName93008 descr304370
crsCode263938 deptId186856 crsName856871 descr968011
crsCode389375 deptId893263 crsName236488 descr961510
crsCode157524 deptId962891 crsName389806 descr968245
crsCode261068 deptId592767 crsName876312 descr956118
crsCode263698 deptId557519 crsName744841 descr115686
crsCode187200 deptId559880 crsName421097 descr259517
crsCode403221 deptId736110 crsName670217 descr297993
crsCode642822 deptId318753 crsName729412 descr318282
crsCode420651 deptId782059 crsName413632 descr488487
crsCode776282 deptId477865 crsName522260 descr252972
crsCode658577 deptId414867 crsName41540 descr972577
crsCode143372 deptId877865 crsName394215 descr261704
crsCode762359 deptId379515 crsName866858 descr888434
crsCode572286 deptId130901 crsName183661 descr108286
crsCode617472 deptId13318 crsName763211 descr816431
crsCode272417 deptId98508 crsName93559 descr468137
crsCode338366 deptId940190 crsName675137 descr838280
crsCode744124 deptId273110 crsName413368 descr568605
crsCode856250 deptId101624 crsName428778 descr70342
crsCode559909 deptId286563 crsName309063 descr706025
crsCode961897 deptId328018 crsName52900 descr698445
crsCode742404 deptId559759 crsName31707 descr555605
crsCode629751 deptId648822 crsName320015 descr508057
crsCode235223 deptId974114 crsName653325 descr901346
crsCode623168 deptId128950 crsName46414 descr342210
crsCode926568 deptId328458 crsName641625 descr685902
crsCode764753 deptId236655 crsName319813 descr771578
crsCode706648 deptId388065 crsName302940 descr811471
crsCode320043 deptId331016 crsName357211 descr56843
crsCode712024 deptId85291 crsName187031 descr876629
crsCode191744 deptId996594 crsName107641 descr868187
crsCode43882 deptId886742 crsName2730 descr751946
crsCode903796 deptId824103 crsName516106 descr340009
crsCode816932 deptId499961 crsName93977 descr798162
crsCode853916 deptId846060 crsName213368 descr126799
crsCode877996 deptId123799 crsName45706 descr409613
crsCode845762 deptId734353 crsName797685 descr517311
crsCode935292 deptId565979 crsName671173 descr450130
crsCode916382 deptId954413 crsName885615 descr265800
crsCode597983 deptId798555 crsName948274 descr352052
crsCode486494 deptId439396 crsName44889 descr722961
crsCode255922 deptId922712 crsName153694 descr935358
crsCode952542 deptId207459 crsName405480 descr258970
crsCode836643 deptId722809 crsName967029 descr557624
crsCode3696 deptId119264 crsName731603 descr329471
crsCode699573 deptId639061 crsName291849 descr842145
crsCode968661 deptId88156 crsName99602 descr811702
crsCode226490 deptId706983 crsName951177 descr448756
crsCode297346 deptId496418 crsName298592 descr12109
crsCode682775 deptId295513 crsName963722 descr404197
crsCode743900 deptId804231 crsName712633 descr326895
crsCode316867 deptId155708 crsName320641 descr716579
crsCode744315 deptId649001 crsName610524 descr151902
crsCode571527 deptId340747 crsName618695 descr910549
crsCode997482 deptId273138 crsName36809 descr78071
crsCode669118 deptId264686 crsName667347 descr488415
crsCode468388 deptId521493 crsName794883 descr981491
crsCode760790 deptId915826 crsName288643 descr185436
crsCode405849 deptId733133 crsName978510 descr596450
crsCode533902 deptId999827 crsName217235 descr769955
crsCode983334 deptId595170 crsName954225 descr279215
crsCode317429 deptId733171 crsName166883 descr508867
crsCode821408 deptId816357 crsName21429 descr247712
crsCode32817 deptId165282 crsName523124 descr742856
crsCode629449 deptId731568 crsName303461 descr404693
crsCode962485 deptId625046 crsName684331 descr219574
crsCode908505 deptId947368 crsName40780 descr361478
crsCode441224 deptId973746 crsName498637 descr467530
crsCode239542 deptId393149 crsName449081 descr216199
crsCode457797 deptId377984 crsName439233 descr629246
crsCode773691 deptId710246 crsName686333 descr532934
crsCode268949 deptId905848 crsName225232 descr84740
crsCode392820 deptId832680 crsName365482 descr411848
crsCode561846 deptId987705 crsName684456 descr100743
crsCode293024 deptId436685 crsName612310 descr652401
crsCode928503 deptId333965 crsName31572 descr258543
crsCode270958 deptId360879 crsName585622 descr798715
crsCode714489 deptId398439 crsName307013 descr791835
crsCode481088 deptId301932 crsName866563 descr220347
crsCode494767 deptId962341 crsName371916 descr55782
crsCode478250 deptId123760 crsName164599 descr388193
crsCode488094 deptId897359 crsName909148 descr724388
crsCode836851 deptId857392 crsName622416 descr663670
crsCode669341 deptId326488 crsName875404 descr321316
crsCode287634 deptId979435 crsName387820 descr178013
crsCode673878 deptId290010 crsName151123 descr226157
crsCode138417 deptId643049 crsName307435 descr854484
crsCode450050 deptId858140 crsName965578 descr198594
crsCode579822 deptId327485 crsName549936 descr450354
crsCode684657 deptId834637 crsName674157 descr859488
crsCode69268 deptId517637 crsName858080 descr485288
crsCode589567 deptId115015 crsName320409 descr211069
crsCode744550 deptId255206 crsName910496 descr933570
crsCode728031 deptId352206 crsName472783 descr946056
crsCode315028 deptId222354 crsName707034 descr563685
crsCode699924 deptId612817 crsName59311 descr583277
crsCode422212 deptId79299 crsName796216 descr529616
crsCode682482 deptId133733 crsName456766 descr707280
crsCode542602 deptId812607 crsName712359 descr618589
crsCode403553 deptId378511 crsName316384 descr638798
crsCode194799 deptId258324 crsName632213 descr918526
crsCode813722 deptId967032 crsName650141 descr453121
crsCode707949 deptId378906 crsName89651 descr41154
crsCode587303 deptId469560 crsName886687 descr564922
crsCode878960 deptId208886 crsName679348 descr549263
crsCode293030 deptId417421 crsName476658 descr737351
crsCode748054 deptId47699 crsName651019 descr730663
crsCode189319 deptId574690 crsName353539 descr286572
crsCode141104 deptId644584 crsName67248 descr749989
crsCode945801 deptId818763 crsName164385 descr948139
crsCode975998 deptId163446 crsName317403 descr635582
crsCode349760 deptId199045 crsName380159 descr350334
crsCode992694 deptId712521 crsName609287 descr659843
crsCode31954 deptId942392 crsName2735 descr91993
crsCode558270 deptId195252 crsName270000 descr193051
crsCode162484 deptId618166 crsName668327 descr884715
crsCode45741 deptId902679 crsName18325 descr228171
crsCode999345 deptId156603 crsName69888 descr171035
crsCode455181 deptId233178 crsName612662 descr195055
crsCode469667 deptId100204 crsName434353 descr730252
crsCode926555 deptId485169 crsName758230 descr568511
crsCode597047 deptId662170 crsName323928 descr366043
crsCode428997 deptId555607 crsName136505 descr375437
crsCode423597 deptId740862 crsName836145 descr194589
crsCode306090 deptId584917 crsName884903 descr40643
crsCode769814 deptId351484 crsName352092 descr167076
crsCode987741 deptId874618 crsName669607 descr889704
crsCode286868 deptId962978 crsName459867 descr588089
crsCode366626 deptId678049 crsName147972 descr442649
crsCode593244 deptId814823 crsName27728 descr340512
crsCode545711 deptId351728 crsName671883 descr789009
crsCode969718 deptId21806 crsName238019 descr835032
crsCode388588 deptId263253 crsName481419 descr206115
crsCode347387 deptId495746 crsName529434 descr263322
crsCode181555 deptId929033 crsName776595 descr885756
crsCode713814 deptId924186 crsName551135 descr639575
crsCode888272 deptId430414 crsName150838 descr456612
crsCode828228 deptId515668 crsName328253 descr542653
crsCode278401 deptId646386 crsName334474 descr370363
crsCode515859 deptId844474 crsName44995 descr47088
crsCode411958 deptId919756 crsName721764 descr770622
crsCode736614 deptId944130 crsName692062 descr422290
crsCode168721 deptId362300 crsName429533 descr416577
crsCode344046 deptId154567 crsName755490 descr432573
crsCode126311 deptId743148 crsName662352 descr298291
crsCode338738 deptId972883 crsName734722 descr956037
crsCode646718 deptId291027 crsName844249 descr164127
crsCode744200 deptId474455 crsName912979 descr687928
crsCode921548 deptId127790 crsName133846 descr14311
crsCode241177 deptId250478 crsName719181 descr871263
crsCode408957 deptId351814 crsName152297 descr770505
crsCode48672 deptId20703 crsName145609 descr61436
crsCode105325 deptId497647 crsName974900 descr867868
crsCode503851 deptId322586 crsName351235 descr328140
crsCode897066 deptId746244 crsName223772 descr662481
crsCode363160 deptId982903 crsName162585 descr228484
crsCode563891 deptId183982 crsName658630 descr139571
crsCode741145 deptId594812 crsName31305 descr494358
crsCode410427 deptId370652 crsName644637 descr708393
crsCode547952 deptId947286 crsName58551 descr625195
crsCode726629 deptId878154 crsName453961 descr67185
crsCode372595 deptId406940 crsName837092 descr758759
crsCode286281 deptId254076 crsName815544 descr543396
crsCode463432 deptId806672 crsName349303 descr496617
crsCode985070 deptId383745 crsName475480 descr437047
crsCode55465 deptId606111 crsName906680 descr598346
crsCode560781 deptId821490 crsName686170 descr667125
crsCode470881 deptId917790 crsName883471 descr432987
crsCode997140 deptId906673 crsName915313 descr585095
crsCode562189 deptId237133 crsName678281 descr467689
crsCode911840 deptId496365 crsName181072 descr549422
crsCode781980 deptId268693 crsName736915 descr456698
crsCode145665 deptId443802 crsName981167 descr802181
crsCode745999 deptId675467 crsName365308 descr408527
crsCode359289 deptId733179 crsName433287 descr490945
crsCode775417 deptId93740 crsName172535 descr953314
crsCode414909 deptId668762 crsName157648 descr838834
crsCode468735 deptId915745 crsName603158 descr97959
crsCode265010 deptId637643 crsName9033 descr248833
crsCode230296 deptId538810 crsName997711 descr571212
crsCode892208 deptId453807 crsName344240 descr409522
crsCode653965 deptId181300 crsName715259 descr454714
crsCode661058 deptId7084 crsName308613 descr432417
crsCode303866 deptId974261 crsName980369 descr510547
crsCode998436 deptId848119 crsName425099 descr911366
crsCode917707 deptId276684 crsName629423 descr878196
crsCode216067 deptId305036 crsName290695 descr453683
crsCode912383 deptId751091 crsName626641 descr878642
crsCode265344 deptId458609 crsName663998 descr574034
crsCode681704 deptId172239 crsName52119 descr654558
crsCode969517 deptId627961 crsName28667 descr713897
crsCode149864 deptId935852 crsName592131 descr176195
crsCode54413 deptId17469 crsName861638 descr775575
crsCode126902 deptId919107 crsName451512 descr320548
crsCode853272 deptId887266 crsName86189 descr101974
crsCode243478 deptId496181 crsName869692 descr620672
crsCode260724 deptId184087 crsName770238 descr384633
crsCode404964 deptId511118 crsName937078 descr319696
crsCode708284 deptId973653 crsName929738 descr776877
crsCode611465 deptId599877 crsName251184 descr956485
crsCode171005 deptId943903 crsName379044 descr801849
crsCode821763 deptId442552 crsName426581 descr745036
crsCode786611 deptId901505 crsName525344 descr84159
crsCode172961 deptId339314 crsName849843 descr971211
crsCode810256 deptId746451 crsName627604 descr8379
crsCode897796 deptId411239 crsName60858 descr793827
crsCode443189 deptId154741 crsName177241 descr640896
crsCode988512 deptId998516 crsName20667 descr723758
crsCode236983 deptId395794 crsName647562 descr166976
crsCode852472 deptId723233 crsName286442 descr274047
crsCode109083 deptId130271 crsName464771 descr279042
crsCode89764 deptId425952 crsName338076 descr445543
crsCode85273 deptId635930 crsName249891 descr119723
crsCode904334 deptId433741 crsName569929 descr628075
crsCode665436 deptId871245 crsName691530 descr433976
crsCode998832 deptId379117 crsName30218 descr280657
crsCode366271 deptId480522 crsName918363 descr546431
crsCode675991 deptId162609 crsName578907 descr235026
crsCode568017 deptId728046 crsName797754 descr919539
crsCode53987 deptId465906 crsName689242 descr796838
crsCode634514 deptId553120 crsName415183 descr778399
crsCode804932 deptId491700 crsName411270 descr355581
crsCode8563 deptId331984 crsName408129 descr98023
crsCode489662 deptId610789 crsName791168 descr364354
crsCode848345 deptId803898 crsName968700 descr158924
crsCode856229 deptId656988 crsName769676 descr33304
crsCode714075 deptId777826 crsName420395 descr520678
crsCode972641 deptId837788 crsName292177 descr789022
crsCode262271 deptId134168 crsName792829 descr203433
crsCode249323 deptId700880 crsName306708 descr123501
crsCode575616 deptId658291 crsName803491 descr684003
crsCode767885 deptId647630 crsName60417 descr136406
crsCode742410 deptId258519 crsName362512 descr159737
crsCode200230 deptId23062 crsName557282 descr916774
crsCode227580 deptId653873 crsName432311 descr46255
crsCode617955 deptId170066 crsName315492 descr195363
crsCode388516 deptId561335 crsName289488 descr28511
crsCode649543 deptId237205 crsName196761 descr185869
crsCode601990 deptId448490 crsName722452 descr305726
crsCode290915 deptId757726 crsName609265 descr194400
crsCode438933 deptId699221 crsName415484 descr353628
crsCode690461 deptId530004 crsName946687 descr177998
crsCode33208 deptId481549 crsName379141 descr663522
crsCode295469 deptId846216 crsName33017 descr320584
crsCode952966 deptId833456 crsName454189 descr100627
crsCode470683 deptId139000 crsName928504 descr221171
crsCode777545 deptId663208 crsName52983 descr781517
crsCode427330 deptId292424 crsName671731 descr36532
crsCode988863 deptId600295 crsName861091 descr256519
crsCode373264 deptId18312 crsName372424 descr215463
crsCode166867 deptId690794 crsName409462 descr998162
crsCode649027 deptId150003 crsName699635 descr781409
crsCode931944 deptId699768 crsName553400 descr563866
crsCode316012 deptId468779 crsName314836 descr732787
crsCode420750 deptId802274 crsName571824 descr385444
crsCode545455 deptId606912 crsName716077 descr531623
crsCode563722 deptId763330 crsName835562 descr411343
crsCode657857 deptId510760 crsName743905 descr195778
crsCode725266 deptId444669 crsName244593 descr75413
crsCode566504 deptId302149 crsName719350 descr712514
crsCode366478 deptId573763 crsName156052 descr551880
crsCode130046 deptId66980 crsName986835 descr52128
crsCode828440 deptId435147 crsName284580 descr737367
crsCode204398 deptId70138 crsName895810 descr391117
crsCode167036 deptId359642 crsName498420 descr732552
crsCode957045 deptId57255 crsName474863 descr476918
crsCode502264 deptId448954 crsName644568 descr885373
crsCode509858 deptId39028 crsName847398 descr361729
crsCode454141 deptId143108 crsName937638 descr329009
crsCode392213 deptId116182 crsName617496 descr973710
crsCode863147 deptId826713 crsName805879 descr384314
crsCode222083 deptId873194 crsName889302 descr97464
crsCode411224 deptId88738 crsName422886 descr908550
crsCode738480 deptId875577 crsName885908 descr50644
crsCode93450 deptId153173 crsName915919 descr543264
crsCode756595 deptId795315 crsName586471 descr881711
crsCode831991 deptId574065 crsName961553 descr778473
crsCode977525 deptId682805 crsName422215 descr665874
crsCode879564 deptId112830 crsName783052 descr487969
crsCode747633 deptId181765 crsName902541 descr416255
crsCode709347 deptId220431 crsName236323 descr898205
crsCode630197 deptId405906 crsName172981 descr295026
crsCode883722 deptId12545 crsName490491 descr844944
crsCode836640 deptId683382 crsName616989 descr256162
crsCode112578 deptId732091 crsName728570 descr953668
crsCode778913 deptId749173 crsName481604 descr507775
crsCode790461 deptId22190 crsName425288 descr138080
crsCode308862 deptId734206 crsName413323 descr750259
crsCode819743 deptId654868 crsName481488 descr583393
crsCode191434 deptId595814 crsName134455 descr876963
crsCode339582 deptId396083 crsName389439 descr417378
crsCode978732 deptId174769 crsName552300 descr324397
crsCode872674 deptId644121 crsName670852 descr74646
crsCode709150 deptId157643 crsName988211 descr136617
crsCode439045 deptId566174 crsName461838 descr935498
crsCode798700 deptId816392 crsName823860 descr560874
crsCode485394 deptId964327 crsName244177 descr901158
crsCode803121 deptId938 crsName693052 descr317628
crsCode249833 deptId268191 crsName176512 descr427882
crsCode235869 deptId192857 crsName629816 descr907749
crsCode378713 deptId329853 crsName348691 descr940531
crsCode366320 deptId496041 crsName701112 descr323045
crsCode725221 deptId856770 crsName271107 descr488565
crsCode469439 deptId2329 crsName240364 descr376760
crsCode746304 deptId805754 crsName838153 descr582847
crsCode256366 deptId828688 crsName398442 descr191568
crsCode754640 deptId803832 crsName632994 descr692092
crsCode587573 deptId711392 crsName694373 descr550685
crsCode52397 deptId587292 crsName255309 descr852526
crsCode529819 deptId378821 crsName226295 descr154887
crsCode456546 deptId892494 crsName955146 descr375347
crsCode833213 deptId16805 crsName30231 descr91887
crsCode575531 deptId994945 crsName583516 descr52738
crsCode9671 deptId117774 crsName371811 descr184948
crsCode355702 deptId489779 crsName150856 descr438828
crsCode786617 deptId927740 crsName764695 descr429162
crsCode418274 deptId951081 crsName226260 descr952861
crsCode483427 deptId800338 crsName282900 descr500001
crsCode436737 deptId956021 crsName519624 descr888409
crsCode537576 deptId651230 crsName218778 descr883494
crsCode992025 deptId918769 crsName864367 descr351873
crsCode529662 deptId860759 crsName263821 descr976763
crsCode165727 deptId61315 crsName716758 descr473678
crsCode600812 deptId843872 crsName695859 descr775582
crsCode693370 deptId154137 crsName326092 descr8914
crsCode38091 deptId785732 crsName49971 descr326538
crsCode827910 deptId430764 crsName580960 descr761788
crsCode310853 deptId932345 crsName598167 descr648366
crsCode529805 deptId412798 crsName828966 descr606930
crsCode849625 deptId393247 crsName523722 descr273529
crsCode237135 deptId859613 crsName196018 descr999477
crsCode413716 deptId905728 crsName522971 descr20048
crsCode793403 deptId376544 crsName117594 descr776802
crsCode865432 deptId564879 crsName113528 descr785939
crsCode783091 deptId778214 crsName113527 descr327662
crsCode268120 deptId795051 crsName610483 descr830109
crsCode863820 deptId173212 crsName532708 descr687815
crsCode826010 deptId209755 crsName361728 descr536131
crsCode933835 deptId188085 crsName592957 descr286455
crsCode56883 deptId664784 crsName966260 descr997266
crsCode79144 deptId768817 crsName728417 descr646626
crsCode112718 deptId723816 crsName461447 descr571602
crsCode737998 deptId966936 crsName724016 descr909956
crsCode156133 deptId459047 crsName426642 descr281095
crsCode465112 deptId699518 crsName978318 descr795829
crsCode834757 deptId333629 crsName826322 descr794732
crsCode62101 deptId893183 crsName127581 descr64679
crsCode648206 deptId916229 crsName68322 descr738936
crsCode486661 deptId540417 crsName300294 descr350820
crsCode295857 deptId166657 crsName13252 descr105690
crsCode587546 deptId513270 crsName31280 descr811154
crsCode704175 deptId989473 crsName446617 descr646207
crsCode739703 deptId26265 crsName827783 descr855024
crsCode427232 deptId342587 crsName672931 descr835720
crsCode593588 deptId591342 crsName452150 descr249816
crsCode145449 deptId859345 crsName378314 descr495318
crsCode397719 deptId126404 crsName784684 descr666749
crsCode506564 deptId185808 crsName426643 descr616064
crsCode939867 deptId457332 crsName991579 descr503340
crsCode783036 deptId267021 crsName897386 descr683161
crsCode33261 deptId116384 crsName815284 descr252364
crsCode909613 deptId497351 crsName929305 descr764140
crsCode853097 deptId636727 crsName553259 descr325791
crsCode291400 deptId734506 crsName399118 descr178753
crsCode344993 deptId886637 crsName604664 descr469825
crsCode283084 deptId859016 crsName628249 descr328791
crsCode287766 deptId16133 crsName427412 descr928805
crsCode669902 deptId920031 crsName335850 descr588266
crsCode505020 deptId108937 crsName479032 descr864733
crsCode169329 deptId166167 crsName88727 descr650732
